no.,Shipment Invoice No.,HVDC CODE,HVDC CODE 1,HVDC CODE 2,HVDC CODE 3,HVDC CODE 4,HVDC CODE 5,Site,EQ No,Case No.,Pkg,Storage,Description,L(CM),W(CM),H(CM),CBM,N.W(kgs),G.W(kgs),Stack,stack status,HS Code,Currency,Price,Vessel,COE,POL,POD,ETD/ATD,ETA/ATA,DHL Warehouse,DSV Indoor,DSV Al Markaz,DSV Outdoor,Hauler Indoor,DSV MZP,MOSB,Shifting,MIR,SHU,DAS,AGI,Status_WAREHOUSE,Status_SITE,Status_Current,Status_Location_Temp,Status_Location,Status_Location_DSV Indoor_DSV Al Markaz,Status_Location_DSV Al Markaz,Status_Location_DSV Indoor,Status_Location_Date,Status_Location_Date_Year,Status_Location_Date_Month,Status_Storage,wh_handling_legacy,site handling,total handling,minus,final handling,SQM,stack status2,Status_Location_YearMonth,Vendor,Source_File,AAA Storage,No.,Local,SERIAL NO.,PO. No,Bill of Lading,DSV MZD,JDN MZD,Stack_Status,site_handling_original,total_handling_original,wh_handling_original,FLOW_CODE,FLOW_DESCRIPTION,Final_Location,입고일자
6656.0,PRL-ZAK-030-O,HVDC-ADOPT-HE-0470,HVDC,ADOPT,HE,470,,AGI,EQ-353,366761,1,Outdoor,307 VALVE HALL AC SIDE 307,294.0,102.0,83.5,2.503998,630.0,830.0,Stackable 2 tier,2.0,8546 2000,EUR,2302.56,MSC Marie Leslie,CHINA,Shanghai,Khalifa port,1970-01-01,2025-09-08,,,,,,,,,,,,,,,Pre Arrival,Pre Arrival,Pre Arrival,,,,,,,Pre Arrival,0,0,0,0,0,2.9988,2.0,,HITACHI,HITACHI(HE),,,,,,,,,,0,0,0,0,Pre Arrival,Pre Arrival,
6657.0,PRL-ZAK-030-O,HVDC-ADOPT-HE-0470,HVDC,ADOPT,HE,470,,AGI,EQ-353,366762,1,Outdoor,307 VALVE HALL AC SIDE 307,294.0,102.0,83.5,2.503998,630.0,830.0,Stackable 2 tier,2.0,8546 2000,EUR,2302.56,MSC Marie Leslie,CHINA,Shanghai,Khalifa port,1970-01-01,2025-09-08,,,,,,,,,,,,,,,Pre Arrival,Pre Arrival,Pre Arrival,,,,,,,Pre Arrival,0,0,0,0,0,2.9988,2.0,,HITACHI,HITACHI(HE),,,,,,,,,,0,0,0,0,Pre Arrival,Pre Arrival,
6658.0,PRL-ZAK-030-O,HVDC-ADOPT-HE-0470,HVDC,ADOPT,HE,470,,AGI,EQ-353,366763,1,Outdoor,307 VALVE HALL AC SIDE 307,293.0,40.5,51.5,0.611125,105.0,185.0,Stackable 2 tier,2.0,8546 2000,EUR,2302.56,MSC Marie Leslie,CHINA,Shanghai,Khalifa port,1970-01-01,2025-09-08,,,,,,,,,,,,,,,Pre Arrival,Pre Arrival,Pre Arrival,,,,,,,Pre Arrival,0,0,0,0,0,1.18665,2.0,,HITACHI,HITACHI(HE),,,,,,,,,,0,0,0,0,Pre Arrival,Pre Arrival,
6659.0,PRL-ZAK-030-O,HVDC-ADOPT-HE-0470,HVDC,ADOPT,HE,470,,AGI,EQ-353,366764,1,Outdoor,307 VALVE HALL AC SIDE 307--Corona ring,284.0,101.5,80.5,2.320493,84.0,183.0,Stackable 2 tier,2.0,8546 2000,EUR,2302.56,MSC Marie Leslie,CHINA,Shanghai,Khalifa port,1970-01-01,2025-09-08,,,,,,,,,,,,,,,Pre Arrival,Pre Arrival,Pre Arrival,,,,,,,Pre Arrival,0,0,0,0,0,2.8826,2.0,,HITACHI,HITACHI(HE),,,,,,,,,,0,0,0,0,Pre Arrival,Pre Arrival,
6660.0,PRL-ZAK-030-O,HVDC-ADOPT-HE-0470,HVDC,ADOPT,HE,470,,AGI,EQ-353,366765,1,Outdoor,307 VALVE HALL AC SIDE 307--Corona ring,79.0,79.0,52.0,0.324532,7.0,60.0,Stackable 2 tier,2.0,8546 2000,EUR,2302.56,MSC Marie Leslie,CHINA,Shanghai,Khalifa port,1970-01-01,2025-09-08,,,,,,,,,,,,,,,Pre Arrival,Pre Arrival,Pre Arrival,,,,,,,Pre Arrival,0,0,0,0,0,0.6241,2.0,,HITACHI,HITACHI(HE),,,,,,,,,,0,0,0,0,Pre Arrival,Pre Arrival,
6661.0,PRL-ZAK-030-O,HVDC-ADOPT-HE-0470,HVDC,ADOPT,HE,470,,AGI,EQ-353,366766,1,Outdoor,308C DC HALL,324.0,102.0,83.5,2.759508,550.0,816.0,Stackable 2 tier,2.0,8546 2000,EUR,2571.75,MSC Marie Leslie,CHINA,Shanghai,Khalifa port,1970-01-01,2025-09-08,,,,,,,,,,,,,,,Pre Arrival,Pre Arrival,Pre Arrival,,,,,,,Pre Arrival,0,0,0,0,0,3.3048,2.0,,HITACHI,HITACHI(HE),,,,,,,,,,0,0,0,0,Pre Arrival,Pre Arrival,
6662.0,PRL-ZAK-030-O,HVDC-ADOPT-HE-0470,HVDC,ADOPT,HE,470,,AGI,EQ-353,366767,1,Outdoor,308C DC HALL--Corona ring,274.0,101.5,80.5,2.238786,35.0,195.0,Stackable 2 tier,2.0,8546 2000,EUR,2571.75,MSC Marie Leslie,CHINA,Shanghai,Khalifa port,1970-01-01,2025-09-08,,,,,,,,,,,,,,,Pre Arrival,Pre Arrival,Pre Arrival,,,,,,,Pre Arrival,0,0,0,0,0,2.7811,2.0,,HITACHI,HITACHI(HE),,,,,,,,,,0,0,0,0,Pre Arrival,Pre Arrival,
6663.0,PRL-ZAK-030-O,HVDC-ADOPT-HE-0470,HVDC,ADOPT,HE,470,,AGI,EQ-353,366768,1,Outdoor,AC hall (outdoors) Insulators 302,91.5,91.5,165.2,1.383096,360.0,446.0,Stackable 2 tier,2.0,8546 2000,EUR,3373.65,MSC Marie Leslie,CHINA,Shanghai,Khalifa port,1970-01-01,2025-09-08,,,,,,,,,,,,,,,Pre Arrival,Pre Arrival,Pre Arrival,,,,,,,Pre Arrival,0,0,0,0,0,0.837225,2.0,,HITACHI,HITACHI(HE),,,,,,,,,,0,0,0,0,Pre Arrival,Pre Arrival,
6664.0,PRL-ZAK-030-O,HVDC-ADOPT-HE-0470,HVDC,ADOPT,HE,470,,AGI,EQ-353,366769,1,Outdoor,AC hall (outdoors) Insulators 302,91.5,91.5,165.2,1.383096,320.0,406.0,Stackable 2 tier,2.0,8546 2000,EUR,3373.65,MSC Marie Leslie,CHINA,Shanghai,Khalifa port,1970-01-01,2025-09-08,,,,,,,,,,,,,,,Pre Arrival,Pre Arrival,Pre Arrival,,,,,,,Pre Arrival,0,0,0,0,0,0.837225,2.0,,HITACHI,HITACHI(HE),,,,,,,,,,0,0,0,0,Pre Arrival,Pre Arrival,
6665.0,PRL-ZAK-030-O,HVDC-ADOPT-HE-0470,HVDC,ADOPT,HE,470,,AGI,EQ-353,366770,1,Outdoor,TERTIARY AREA INSULATOR 303A,84.0,84.0,74.8,0.527789,198.0,266.0,Stackable 2 tier,2.0,8546 2000,EUR,1167.75,MSC Marie Leslie,CHINA,Shanghai,Khalifa port,1970-01-01,2025-09-08,,,,,,,,,,,,,,,Pre Arrival,Pre Arrival,Pre Arrival,,,,,,,Pre Arrival,0,0,0,0,0,0.7056,2.0,,HITACHI,HITACHI(HE),,,,,,,,,,0,0,0,0,Pre Arrival,Pre Arrival,
